Transcript ID,Ensemble Gene ID,Gene Symbol,FC Injured-Resident vs Uninjured-Resident: Uninjured-Resident,FC Injured-Resident vs Uninjured-Resident: Injured-Resident,FC Injured-Repopulated vs Injured-Resident: Injured-Resident,FC Injured-Repopulated vs Injured-Resident: Injured-Repopulated,FC Injured-Repopulated vs Uninjured-Repopulated: Uninjured-Repopulated,FC Injured-Repopulated vs Uninjured-Repopulated: Injured-Repopulated,FC Uninjured-Repopulated vs Uninjured-Resident: Uninjured-Resident,FC Uninjured-Repopulated vs Uninjured-Resident: Uninjured-Repopulated,Adj-p Injured-Resident vs Uninjured-Resident,Adj-p Injured-Repopulated vs Injured-Resident,Adj-p Injured-Repopulated vs Uninjured-Repopulated,Adj-p Uninjured-Repopulated vs Uninjured-Resident, 
ENSMUST00000000365.2,ENSMUSG00000000355.13,Mcts1,1,1.0922,1,0.8706,1,0.9192,1,1.0344,0.9999,0.5799,0.9999,0.9887,
ENSMUST00000000384.7,ENSMUSG00000000374.8,Trappc10,1,0.9301,1,1.0540,1,0.9174,1,1.0686,0.9999,0.9566,0.9999,0.9856,
ENSMUST00000000388.14,ENSMUSG00000000378.15,Ccm2,1,0.8581,1,0.9649,1,1.1554,1,0.7166,0.9999,0.9601,0.9999,0.4620,
ENSMUST00000000394.13,ENSMUSG00000000384.15,Tbrg4,1,0.7987,1,1.2415,1,0.8821,1,1.1241,0.9999,0.9999,0.9999,0.9835,
ENSMUST00000000430.13,ENSMUSG00000000420.15,Galnt1,1,1.3700,1,0.9981,1,1.2970,1,1.0543,0.9999,0.9997,0.9999,0.9934,
ENSMUST00000000449.8,ENSMUSG00000000439.9,Mkrn2,1,0.7862,1,1.1500,1,0.9566,1,0.9452,0.9999,0.6636,0.9999,0.9801,
ENSMUST00000000451.13,ENSMUSG00000000441.17,Raf1,1,0.8930,1,1.0077,1,1.1614,1,0.7748,0.9999,0.9942,0.9999,0.6465,
ENSMUST00000000466.12,ENSMUSG00000028494.12,Plin2,1,0.9239,1,1.1609,1,1.0313,1,1.0400,0.9999,0.6018,0.9999,0.9874,
ENSMUST00000000500.7,ENSMUSG00000000489.7,Pdgfb,1,1.0046,1,1.0274,1,1.1838,1,0.8719,0.9999,0.9491,0.9110,0.7648,
ENSMUST00000000505.15,ENSMUSG00000029730.16,Mcm7,1,0.9412,1,0.8299,1,0.7954,1,0.9820,0.9999,0.7822,0.9999,0.9954,
ENSMUST00000000542.13,ENSMUSG00000000530.16,Acvrl1,1,5.0591,1,1.5199,1,1.4663,1,5.2439,0.9999,0.9045,0.9999,0.6524,
ENSMUST00000000544.11,ENSMUSG00000000532.11,Acvr1b,1,1.1037,1,0.9062,1,1.1854,1,0.8437,0.9999,0.9999,0.9999,0.9680,
ENSMUST00000000574.2,ENSMUSG00000000562.5,Adora3,1,1.0368,1,0.8279,1,1.0741,1,0.7991,0.9999,0.1234,0.9999,0.3659,
ENSMUST00000000590.15,ENSMUSG00000032050.18,Rdx,1,1.3421,1,0.8337,1,1.0989,1,1.0182,0.9999,0.4552,0.9999,0.9937,
ENSMUST00000000594.8,ENSMUSG00000000581.8,C1d,1,0.9339,1,0.9841,1,1.0342,1,0.8887,0.9999,0.9757,0.9999,0.8448,
ENSMUST00000000608.7,ENSMUSG00000000594.7,Gm2a,1,1.0132,1,1.3669,1,0.7487,1,1.8498,0.9999,1.24E-09,0.0020,2.20E-15,
ENSMUST00000000619.7,ENSMUSG00000000605.9,Clcn4,1,0.9828,1,0.9197,1,0.9854,1,0.9173,0.9999,0.8295,0.9999,0.9529,
ENSMUST00000000642.10,ENSMUSG00000000628.10,Hk2,1,1.0054,1,0.8913,1,0.9588,1,0.9347,0.9999,0.6055,0.9999,0.9605,
ENSMUST00000000687.8,ENSMUSG00000000673.9,Haao,1,0.9478,1,1.3755,1,0.8135,1,1.6025,0.9999,0.0927,0.9999,0.1264,
ENSMUST00000000696.6,ENSMUSG00000000682.7,Cd52,1,1.1308,1,1.7102,1,0.6706,1,2.8836,0.9999,6.41E-05,0.3189,6.47E-08,
ENSMUST00000000707.8,ENSMUSG00000000693.10,Loxl3,1,1.4042,1,0.8764,1,0.8275,1,1.4871,0.9999,0.8932,0.9999,0.7692,
ENSMUST00000000724.14,ENSMUSG00000000708.14,Kat2b,1,0.9396,1,1.1946,1,1.0910,1,1.0289,0.9999,0.8425,0.9999,0.9940,
ENSMUST00000000727.3,ENSMUSG00000000711.3,Rab5b,1,0.9178,1,0.6537,1,1.1597,1,0.5173,0.9999,6.20E-07,0.9999,1.12E-06,
ENSMUST00000000756.5,ENSMUSG00000000740.12,Rpl13,1,0.9791,1,1.4293,1,0.8235,1,1.6994,0.9999,2.44E-06,0.6020,8.76E-06,
ENSMUST00000000759.8,ENSMUSG00000000743.9,Chmp1a,1,0.8884,1,1.1115,1,1.0612,1,0.9305,0.9999,0.3467,0.9999,0.8853,
ENSMUST00000000767.5,ENSMUSG00000000751.13,Rpa1,1,0.7209,1,1.2344,1,0.8096,1,1.0992,0.8285,0.3237,0.9999,0.9519,
ENSMUST00000000769.13,ENSMUSG00000000753.15,Serpinf1,1,0.9222,1,0.3075,1,1.3399,1,0.2116,0.9999,9.41E-13,0.9999,5.67E-09,
ENSMUST00000000776.14,ENSMUSG00000000759.14,Tubgcp3,1,0.9569,1,1.1544,1,0.9530,1,1.1591,0.9999,0.8693,0.9999,0.9657,
ENSMUST00000000793.12,ENSMUSG00000000776.13,Polr3d,1,1.4656,1,0.8359,1,0.8225,1,1.4894,0.9999,8.99E-01,0.9999,0.8872,
ENSMUST00000000804.6,ENSMUSG00000000787.12,Ddx3x,1,0.8799,1,0.9981,1,0.9881,1,0.8888,0.9999,0.9976,0.9999,0.8916,
ENSMUST00000000828.12,ENSMUSG00000000811.13,Txnrd3,1,1.1539,1,0.4869,1,0.4332,1,1.2967,0.9999,0.6045,0.9999,0.9801,
ENSMUST00000000844.14,ENSMUSG00000000827.18,Tpd52l2,1,0.8103,1,1.0412,1,1.1606,1,0.7269,0.9999,0.9519,0.9999,0.4752,
ENSMUST00000000894.5,ENSMUSG00000027490.17,E2f1,1,1.8767,1,1.0870,1,0.6043,1,3.3758,0.9999,0.9803,0.9999,0.5606,
ENSMUST00000000896.10,ENSMUSG00000000876.11,Pxmp4,1,1.0485,1,0.8534,1,1.4117,1,0.6339,0.9999,0.6625,0.7404,0.2164,
ENSMUST00000000924.12,ENSMUSG00000000901.17,Mmp11,1,0.6669,1,0.7003,1,2.2337,1,0.2091,0.9999,0.8729,0.9999,0.3794,
ENSMUST00000000925.9,ENSMUSG00000000902.13,Smarcb1,1,1.2856,1,0.7465,1,0.9324,1,1.0293,0.9999,0.5718,0.9999,0.9937,
ENSMUST00000000939.14,ENSMUSG00000000915.15,Hip1r,1,1.4904,1,0.9225,1,2.1330,1,0.6446,0.9999,0.9999,0.9999,0.9841,
ENSMUST00000000940.14,ENSMUSG00000000916.15,Nsun5,1,0.7146,1,1.0779,1,0.9979,1,0.7719,0.9999,0.9237,0.9999,0.8170,
ENSMUST00000000958.8,ENSMUSG00000000934.9,Top1mt,1,1.1477,1,0.5989,1,0.5114,1,1.3440,0.9999,0.1586,0.4992,0.8676,
ENSMUST00000000984.8,ENSMUSG00000000958.10,Slc7a7,1,1.0585,1,0.9877,1,1.3450,1,0.7773,0.9999,0.9768,0.1056,0.1594,
ENSMUST00000000985.6,ENSMUSG00000000959.7,Oxa1l,1,0.9625,1,1.1740,1,0.9843,1,1.1481,0.9999,0.5799,0.9999,0.8993,
ENSMUST00000001002.7,ENSMUSG00000000976.13,Heatr6,1,0.8745,1,0.9812,1,0.9592,1,0.8946,0.9999,0.9882,0.9999,0.9688,
ENSMUST00000001008.5,ENSMUSG00000000982.5,Ccl3,1,1.1157,1,2.2515,1,0.8637,1,2.9084,0.9999,0.0012,0.9999,0.0112,
ENSMUST00000001042.9,ENSMUSG00000001016.12,Ilf2,1,0.8293,1,0.8894,1,0.9591,1,0.7689,0.9999,0.7856,0.9999,0.6680,
ENSMUST00000001043.13,ENSMUSG00000001017.15,Chtop,1,0.7413,1,1.3989,1,1.0256,1,1.0112,0.9999,0.2736,0.9999,0.9962,
ENSMUST00000001046.6,ENSMUSG00000001020.8,S100a4,1,1.4832,1,1.7679,1,0.6291,1,4.1683,0.9999,0.9999,0.9999,0.4866,
ENSMUST00000001051.8,ENSMUSG00000001025.8,S100a6,1,6.2742,1,0.5683,1,0.4004,1,8.9056,0.9999,0.9999,0.9999,0.2520,
ENSMUST00000001055.14,ENSMUSG00000001029.15,Icam2,1,1.3414,1,1.2818,1,0.9046,1,1.9007,0.9999,0.9999,0.9999,0.8597,
ENSMUST00000001059.8,ENSMUSG00000020715.9,Ern1,1,1.0021,1,0.8056,1,0.8228,1,0.9812,0.9999,0.7974,0.9999,0.9957,
ENSMUST00000001079.14,ENSMUSG00000001052.15,Sec24b,1,0.8904,1,0.9789,1,1.1813,1,0.7378,0.9999,0.9764,0.9999,0.4549,
ENSMUST00000001081.9,ENSMUSG00000001054.9,Rmnd5b,1,0.9526,1,0.9804,1,1.1789,1,0.7922,0.9999,0.9866,0.9999,0.8383,
ENSMUST00000001083.3,ENSMUSG00000001056.3,Nhp2,1,1.1723,1,1.0277,1,0.8585,1,1.4033,0.9999,0.9999,0.9999,0.9723,
ENSMUST00000001092.14,ENSMUSG00000001065.15,Zfp276,1,1.2813,1,1.2880,1,0.9737,1,1.6948,0.9999,0.3919,0.9999,0.1626,
ENSMUST00000001108.10,ENSMUSG00000029106.14,Add1,1,1.8261,1,0.7642,1,0.9081,1,1.5367,0.9999,0.9999,0.9999,0.9835,
ENSMUST00000001109.10,ENSMUSG00000001082.12,Mfsd10,1,0.7383,1,1.0507,1,0.8804,1,0.8812,0.9999,0.9475,0.9999,0.9396,
ENSMUST00000001112.13,ENSMUSG00000052783.16,Grk4,1,1.0439,1,0.9637,1,1.3821,1,0.7279,0.9999,0.9999,0.9999,0.9801,
ENSMUST00000001115.15,ENSMUSG00000074886.11,Grk6,1,0.9104,1,0.9361,1,0.7840,1,1.0871,0.9999,0.9017,0.9587,0.9653,
ENSMUST00000001126.3,ENSMUSG00000020829.9,Slc46a1,1,0.9337,1,0.9056,1,1.1235,1,0.7526,0.9999,0.4132,0.9678,0.0224,
ENSMUST00000001127.10,ENSMUSG00000001100.10,Poldip2,1,1.0593,1,0.8365,1,1.1379,1,0.7787,0.9999,0.5977,0.9999,0.7366,
ENSMUST00000001148.10,ENSMUSG00000001120.15,Pcbp3,1,1.9244,1,0.5507,1,6.0174,1,0.1761,0.9999,0.9999,0.8638,0.5842,
ENSMUST00000001155.10,ENSMUSG00000001127.12,Araf,1,0.7484,1,1.2247,1,0.9388,1,0.9763,0.9999,0.4859,0.9999,0.9930,
ENSMUST00000001156.7,ENSMUSG00000001128.7,Cfp,1,10.8580,1,0.6798,1,0.6975,1,10.5820,0.2688,0.9999,0.9999,0.1236,
ENSMUST00000001166.13,ENSMUSG00000001138.13,Cnnm3,1,1.1051,1,0.8934,1,0.7759,1,1.2725,0.9999,0.7312,0.8345,0.6000,
ENSMUST00000001171.12,ENSMUSG00000001143.13,Lman2l,1,1.5541,1,0.9360,1,1.4605,1,0.9960,0.9999,0.9597,0.9999,0.9988,
ENSMUST00000001172.11,ENSMUSG00000079610.9,Ankrd39,1,17.5106,1,1.0916,1,6.3419,1,3.0141,0.7846,0.9999,0.9558,0.9049,
ENSMUST00000001184.9,ENSMUSG00000001156.9,Mxd1,1,1.2280,1,0.7660,1,1.1160,1,0.8429,0.9999,0.2448,0.9999,0.8765,
ENSMUST00000001185.13,ENSMUSG00000001157.13,Gmcl1,1,1.2088,1,0.8424,1,1.0094,1,1.0088,0.9999,0.3754,0.9999,0.9954,
ENSMUST00000001186.10,ENSMUSG00000001158.13,Snrnp27,1,0.8465,1,0.9936,1,1.1175,1,0.7527,0.9999,0.9929,0.9999,0.2005,
ENSMUST00000001187.14,ENSMUSG00000029994.17,Anxa4,1,0.9441,1,1.5300,1,1.0458,1,1.3811,0.9999,0.0010,0.9999,0.3235,
ENSMUST00000001202.14,ENSMUSG00000001173.15,Ocrl,1,0.8498,1,0.8656,1,0.5198,1,1.4150,0.9999,0.9999,0.9999,0.9832,
ENSMUST00000001226.10,ENSMUSG00000022436.16,Sh3bp1,1,1.0928,1,0.9410,1,1.0381,1,0.9906,0.9999,0.8482,0.9999,0.9944,
ENSMUST00000001240.11,ENSMUSG00000001211.15,Agpat3,1,1.0337,1,0.8882,1,0.8142,1,1.1276,0.9999,0.8515,0.9999,0.9612,
ENSMUST00000001242.8,ENSMUSG00000053329.7,Gatd3a,1,1.0176,1,0.8450,1,0.9542,1,0.9012,0.9999,0.5573,0.9999,0.9495,
ENSMUST00000001256.10,ENSMUSG00000001227.12,Sema6b,1,1.4198,1,0.8246,1,0.4828,1,2.4248,0.9999,0.8621,0.7031,0.2713,
ENSMUST00000001258.14,ENSMUSG00000001228.14,Uhrf1,1,2.6363,1,0.5205,1,0.5995,1,2.2887,0.9999,0.9999,0.9999,0.9642,
ENSMUST00000001280.13,ENSMUSG00000001248.15,Gramd1a,1,1.0997,1,0.8941,1,1.0519,1,0.9348,0.9999,0.8696,0.9999,0.9848,
ENSMUST00000001284.12,ENSMUSG00000026641.13,Usf1,1,1.1208,1,0.9201,1,1.1716,1,0.8802,0.9999,0.9188,0.9999,0.9640,
ENSMUST00000001304.8,ENSMUSG00000001270.9,Ckb,1,0.9552,1,0.7927,1,1.1138,1,0.6798,0.9999,0.0007,0.9999,0.0002,
ENSMUST00000001319.14,ENSMUSG00000001300.16,Efnb2,1,1.1391,1,0.2362,1,0.2068,1,1.3011,0.9999,0.9999,0.9999,0.9898,
ENSMUST00000001326.6,ENSMUSG00000001280.13,Sp1,1,1.0530,1,0.8393,1,0.8020,1,1.1019,0.9999,0.6608,0.9999,0.9678,
ENSMUST00000001327.10,ENSMUSG00000001281.10,Itgb7,1,3.0746,1,0.3517,1,0.9956,1,1.0861,0.9999,0.6683,0.9999,0.9949,
ENSMUST00000001335.6,ENSMUSG00000001289.12,Pfdn5,1,0.9570,1,0.8131,1,0.6983,1,1.1144,0.9999,0.7998,0.9999,0.9806,
ENSMUST00000001339.5,ENSMUSG00000001305.5,Rrp15,1,0.9958,1,1.0162,1,0.9995,1,1.0125,0.9999,0.9940,1.0000,0.9966,
ENSMUST00000001347.6,ENSMUSG00000001313.12,Rnd2,1,0.9424,1,0.7220,1,2.1609,1,0.3149,0.9999,0.9999,0.9999,0.7642,
ENSMUST00000001412.16,ENSMUSG00000001376.17,Vps50,1,1.0047,1,1.0184,1,1.0376,1,0.9860,0.9999,0.9929,0.9999,0.9962,
ENSMUST00000001415.8,ENSMUSG00000117679.1,Apbb3,1,0.5538,1,1.2967,1,0.7751,1,0.9265,0.9999,0.9999,0.9999,0.9937,
ENSMUST00000001416.7,ENSMUSG00000001380.7,Hars,1,0.7823,1,1.0504,1,1.1950,1,0.6876,0.9999,0.9488,0.9999,0.4415,
ENSMUST00000001419.9,ENSMUSG00000001383.9,Zmat2,1,1.0772,1,0.8370,1,0.9737,1,0.9260,0.9999,0.7008,0.9999,0.9801,
ENSMUST00000001451.10,ENSMUSG00000001415.10,Smg5,1,1.0586,1,1.1175,1,0.9018,1,1.3118,0.9999,0.8707,0.9999,0.8037,
ENSMUST00000001452.13,ENSMUSG00000001416.13,Cct3,1,1.0139,1,1.0310,1,1.2361,1,0.8457,0.9999,0.9486,0.7893,0.7109,
ENSMUST00000001454.13,ENSMUSG00000001418.13,Glmp,1,1.1110,1,0.8399,1,1.2514,1,0.7457,0.9999,0.9049,0.9999,0.9459,
ENSMUST00000001455.12,ENSMUSG00000001419.17,Mef2d,1,0.9627,1,0.8220,1,0.9084,1,0.8711,0.9999,0.6332,0.9999,0.9477,
ENSMUST00000001460.13,ENSMUSG00000001424.14,Snd1,1,1.0021,1,0.9729,1,0.8105,1,1.2030,0.9999,0.9598,0.8909,0.7060,
ENSMUST00000001479.4,ENSMUSG00000001440.5,Kpnb1,1,0.9470,1,0.8681,1,0.9625,1,0.8541,0.9999,0.4725,0.9999,0.7652,
ENSMUST00000001480.13,ENSMUSG00000001441.13,Npepps,1,1.1411,1,1.0318,1,0.8140,1,1.4464,0.9999,0.9787,0.9999,0.6746,
ENSMUST00000001485.9,ENSMUSG00000001445.10,Mrpl10,1,1.0029,1,0.8169,1,1.0226,1,0.8011,0.9999,0.3878,0.9999,0.7220,
ENSMUST00000001507.4,ENSMUSG00000001467.5,Cyp51,1,1.0685,1,1.0047,1,0.8017,1,1.3390,0.9999,0.9964,0.9999,0.7217,
ENSMUST00000001513.7,ENSMUSG00000001473.7,Tubb6,1,1.0289,1,1.0873,1,0.8566,1,1.3060,0.9999,0.8445,0.9999,0.5469,
ENSMUST00000001520.12,ENSMUSG00000031967.15,Afg3l1,1,1.0345,1,1.0339,1,0.8904,1,1.2012,0.9999,0.9664,0.9999,0.8642,
ENSMUST00000001544.11,ENSMUSG00000023186.14,Vwa5a,1,0.8958,1,1.1484,1,1.1497,1,0.8948,0.9999,0.6483,0.9999,0.9310,
ENSMUST00000001559.10,ENSMUSG00000001518.12,Itfg2,1,1.1425,1,1.2893,1,1.4951,1,0.9853,0.9999,0.5234,0.8729,0.9954,
ENSMUST00000001562.8,ENSMUSG00000001521.12,Tulp3,1,1.8291,1,0.8697,1,0.5034,1,3.1600,0.9999,0.9999,0.9318,0.2070,
ENSMUST00000001565.14,ENSMUSG00000001524.14,Gtf2h4,1,1.1827,1,0.7287,1,0.6403,1,1.3459,0.9999,0.1930,0.4612,0.6619,
ENSMUST00000001566.9,ENSMUSG00000001525.10,Tubb5,1,1.1645,1,0.7165,1,0.8451,1,0.9874,0.9999,0.0011,0.9657,0.9937,
ENSMUST00000001569.14,ENSMUSG00000059714.13,Flot1,1,0.8009,1,0.8411,1,0.9494,1,0.7095,0.9999,0.2875,0.9999,0.1131,
ENSMUST00000001583.7,ENSMUSG00000001542.7,Ell2,1,1.2745,1,1.7590,1,0.6244,1,3.5906,0.9999,0.0387,0.7775,0.0004,
ENSMUST00000001592.14,ENSMUSG00000001552.14,Jup,1,0.9666,1,0.6752,1,1.1149,1,0.5854,0.9999,0.0584,0.9999,0.1349,
ENSMUST00000001611.10,ENSMUSG00000001569.10,Nom1,1,1.1058,1,0.8527,1,0.8325,1,1.1326,0.9999,0.6876,0.9999,0.9468,
ENSMUST00000001620.12,ENSMUSG00000027680.15,Fxr1,1,0.6350,1,0.7559,1,0.5830,1,0.8233,0.9999,0.9999,0.9999,0.9874,
ENSMUST00000001672.11,ENSMUSG00000001627.12,Ifrd1,1,1.0057,1,1.0820,1,0.7910,1,1.3757,0.9999,0.9607,0.9999,0.9083,
ENSMUST00000001675.13,ENSMUSG00000001630.13,Stk38l,1,1.3217,1,0.4847,1,0.7897,1,0.8113,0.9999,0.0006,0.9999,0.8978,
ENSMUST00000001712.7,ENSMUSG00000020196.10,Cabin1,1,1.0362,1,1.0338,1,0.9694,1,1.1050,0.9999,0.9486,0.9999,0.9186,
ENSMUST00000001715.9,ENSMUSG00000001665.11,Gstt3,1,1.3070,1,0.5637,1,0.9545,1,0.7719,0.9999,0.9999,0.9999,0.9832,
ENSMUST00000001716.7,ENSMUSG00000001666.8,Ddt,1,0.7195,1,1.3587,1,0.9922,1,0.9853,0.9999,0.5881,0.9999,0.9962,
ENSMUST00000001724.11,ENSMUSG00000001674.11,Ddx18,1,0.8281,1,1.1238,1,0.9760,1,0.9534,0.9999,0.6925,0.9999,0.9805,
ENSMUST00000001757.8,ENSMUSG00000001707.8,Eef1e1,1,1.1238,1,0.9322,1,1.0055,1,1.0419,0.9999,0.9022,0.9999,0.9893,
ENSMUST00000001780.9,ENSMUSG00000001729.14,Akt1,1,0.9630,1,0.8663,1,0.9870,1,0.8452,0.9999,0.2338,0.9999,0.5239,
ENSMUST00000001801.10,ENSMUSG00000001750.16,Tcirg1,1,1.2703,1,1.1556,1,0.9952,1,1.4751,0.9999,0.4519,0.9999,0.0542,
ENSMUST00000001802.9,ENSMUSG00000001751.9,Naglu,1,1.0058,1,1.3355,1,0.8144,1,1.6493,0.9999,4.94E-11,0.0301,1.15E-13,
ENSMUST00000001806.9,ENSMUSG00000001755.12,Coasy,1,0.9167,1,1.1012,1,1.0216,1,0.9881,0.9999,0.8239,0.9999,0.9947,
ENSMUST00000001809.14,ENSMUSG00000022283.15,Pabpc1,1,1.1517,1,1.3184,1,0.8619,1,1.7618,0.9999,0.0003,0.8673,3.54E-07,
ENSMUST00000001812.4,ENSMUSG00000001761.7,Smo,1,1.0225,1,0.9201,1,1.4646,1,0.6424,0.9999,0.8625,0.4585,0.1618,
ENSMUST00000001818.4,ENSMUSG00000001767.5,Crnkl1,1,0.7120,1,1.0787,1,0.9333,1,0.8230,0.9999,0.9051,0.9999,0.8621,
ENSMUST00000001825.8,ENSMUSG00000001774.8,Chordc1,1,0.9801,1,0.9620,1,1.2001,1,0.7856,0.9999,0.9615,0.9999,0.7820,
ENSMUST00000001834.3,ENSMUSG00000001783.3,Rtcb,1,0.9128,1,1.1840,1,0.7545,1,1.4324,0.9999,0.1206,0.1358,0.0107,
ENSMUST00000001836.10,ENSMUSG00000001785.13,Pwp1,1,0.7987,1,1.1420,1,1.1723,1,0.7781,0.9999,0.6979,0.9999,0.6507,
ENSMUST00000001837.13,ENSMUSG00000001786.14,Fbxo7,1,1.0649,1,1.4711,1,0.8494,1,1.8443,0.9999,0.9999,0.9999,0.9760,
ENSMUST00000001845.12,ENSMUSG00000001794.13,Capns1,1,1.0123,1,1.0470,1,0.8160,1,1.2989,0.9999,0.9822,0.9999,0.9527,
ENSMUST00000001884.13,ENSMUSG00000001829.17,Clpb,1,1.1304,1,0.8107,1,1.2532,1,0.7313,0.9999,0.8328,0.9999,0.9032,
ENSMUST00000001900.8,ENSMUSG00000001844.10,Zdhhc4,1,1.0306,1,1.2494,1,0.6737,1,1.9113,0.9999,0.6104,0.8457,0.1250,
ENSMUST00000001950.11,ENSMUSG00000025139.14,Tollip,1,1.0352,1,0.9265,1,0.8034,1,1.1938,0.9999,0.8526,0.9367,0.7878,
ENSMUST00000001975.5,ENSMUSG00000001910.5,Nacc1,1,1.1639,1,0.7434,1,1.0367,1,0.8346,0.9999,0.0272,0.9999,0.7514,
ENSMUST00000001989.8,ENSMUSG00000001924.15,Uba1,1,0.9134,1,1.0850,1,1.0968,1,0.9036,0.9999,0.8295,0.9999,0.9285,
ENSMUST00000002007.4,ENSMUSG00000001942.8,Siae,1,0.8603,1,0.8888,1,0.8067,1,0.9478,0.9999,0.8324,0.9999,0.9874,
ENSMUST00000002029.12,ENSMUSG00000001964.14,Emd,1,1.2291,1,0.7735,1,0.9301,1,1.0222,0.9999,0.7036,0.9999,0.9949,
ENSMUST00000002043.9,ENSMUSG00000078622.8,Ccdc47,1,0.8960,1,1.1190,1,1.0431,1,0.9612,0.9999,0.3187,0.9999,0.9682,
ENSMUST00000002044.9,ENSMUSG00000020700.11,Map3k3,1,0.9441,1,0.8465,1,0.9316,1,0.8578,0.9999,0.1407,0.9999,0.6250,
